siKoda;normalizirana;SLOVENSKI NAZIV
O92.31;O9231;Agalakcija, s spremljajočimi težavami
O92.4;O924;Hipogalakcija
O92.40;O9240;Hipogalakcija, brez spremljajočih težav
O92.41;O9241;Hipogalakcija, s spremljajočimi težavami
O92.5;O925;Ablaktacija
O92.50;O9250;Ablaktacija, brez spremljajočih težav
O92.51;O9251;Ablaktacija, s spremljajočimi težavami
O92.6;O926;Galaktoreja
O92.60;O9260;Galaktoreja, brez spremljajočih težav
O92.61;O9261;Galaktoreja, s spremljajočimi težavami
O92.7;O927;Druge in neopredeljene nepravilnosti laktacije
O92.70;O9270;Druge in neopredeljene nepravilnosti laktacije, brez spremljajočih težav
O92.71;O9271;Druge in neopredeljene nepravilnosti laktacije, s spremljajočimi težavami
O94;O94;Kasne posledice zapletov nosečnosti, poroda in poporodnega obdobja
O95;O95;Obporodna smrt zaradi neopredeljenega vzroka
O96;O96;Smrt zaradi katerega koli porodniškega vzroka, ki nastopi več kot 42 dni, vendar manj kot eno leto po porodu
O97;O97;Smrt zaradi kasnih posledic (sekvel) neposrednih porodniških vzrokov
O98;O98;Materine infekcijske in parazitske bolezni, uvrščene drugje, zapletajo nosečnost, porod in poporodno obdobje (puerperij)
O98.0;O980;Tuberkuloza kot zaplet med nosečnostjo, ob porodu in v poporodnem obdobju
O98.1;O981;Sifilis kot zaplet med nosečnostjo, ob porodu in v poporodnem obdobju
O98.2;O982;Gonoreja kot zaplet med nosečnostjo, ob porodu in v poporodnem obdobju
O98.3;O983;Druge infekcije, prenesene prevsem na spolni način, kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O98.4;O984;Virusni hepatitis kot zaplet med nosečnostjo, ob porodu in v poporodnem obdobju
O98.5;O985;Druge virusne bolezni kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O98.6;O986;Protozojske bolezni kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O98.8;O988;Druge infekcijske in parazitske boleznii kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju  
O98.9;O989;Neopredeljene materine infekcijske in parazitske boleznii kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O99;O99;Druge bolezni pri materi, ki so lahko uvrščene drugje, toda zapletajo nosečnost, porod in poporodno obdobje (puerperij) 
O99.0;O990;Anemija (slabokrvnost) kot zaplet med nosečnostjo, ob porodu in v poporodnem obdobju
O99.00;O9900;Anemija ki zapleta nosečnost, porod in poporodno obdobje, neopredeljena
O99.01;O9901;Anemija, ki zapleta nosečnost
O99.02;O9902;Prej obstoječa anemija, ki zapleta nosečnost
O99.03;O9903;Anemija, ki zapleta porod in poporodno obdobje
O99.04;O9904;Prej obstoječa anemija, ki zapleta porod in poporodno obdobje
O99.1;O991;Druge bolezni krvi in krvotvornih organov in določene nepravilnosti imunskega odziva kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O99.2;O992;Endokrine, prehranske in presnovne bolezni kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O99.3;O993;Duševne motnje in bolezni živčnega sistema kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O99.4;O994;Bolezni obtočil kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O99.5;O995;Bolezni dihal kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O99.6;O996;Bolezni prebavnega sistema kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O99.7;O997;Kožne bolezni in bolezni podkožnega tkiva kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
O99.8;O998;Druge opredeljene bolezni in stanja kot zapleti med nosečnostjo, ob porodu in v poporodnem obdobju
P00;P00;Plod in novorojenček, prizadet zaradi materinih bolezni, ki niso nujno povezane s sedanjo nosečnostjo
P00.0;P000;Plod in novorojenček, prizadet zaradi materinih hipertenzivnih bolezni
P00.1;P001;Plod in novorojenček, prizadet zaradi materinih bolezni ledvic in spodnjih sečil
P00.2;P002;Plod in novorojenček, prizadet zaradi materinih infekcijskih in parazitskih bolezni
P00.3;P003;Plod in novorojenček, prizadet zaradi drugih materinih bolezni obtočil in dihal
P00.4;P004;Plod in novorojenček, prizadet zaradi motenj materine prehranjenosti
P00.5;P005;Plod in novorojenček, prizadet zaradi materine poškodbe
P00.6;P006;Plod in novorojenček, prizadet zaradi kirurškega posega pri materi
P00.7;P007;Plod in novorojenček, prizadet zaradi drugih medicinskih posegov pri materi, neuvrščenih drugje
P00.8;P008;Plod in novorojenček, prizadet zaradi drugih materinih stanj
P00.9;P009;Plod in novorojenček, prizadet zaradi neopredeljenega materinega stanja
P01;P01;Plod in novorojenček, prizadet zaradi materinih zapletov med nosečnostjo
P01.0;P010;Plod in novorojenček, prizadet zaradi nezadostnosti materničnega ustja
P01.1;P011;Plod in novorojenček, prizadet zaradi predčasnega razpoka plodovega mehurja
P01.2;P012;Plod in novorojenček, prizadet zaradi oligohidramnija
P01.3;P013;Plod in novorojenček, prizadet zaradi polihidramnija
P01.4;P014;Plod in novorojenček, prizadet zaradi ektopične nosečnosti
P01.5;P015;Plod in novorojenček, prizadet zaradi multiple nosečnosti
P01.6;P016;Plod in novorojenček, prizadet zaradi materine smrti
P01.7;P017;Plod in novorojenček, prizadet zaradi nenormalne vstave pred začetkom poroda
P01.8;P018;Plod in novorojenček, prizadet zaradi drugih materinih zapletov med nosečnostjo
P01.9;P019;Plod in novorojenček, prizadet zaradi materinega zapleta med nosečnostjo, neopredeljenega
P02;P02;Plod in novorojenček, prizadet zaradi zapletov v zvezi s posteljico, popkovnico in ovoji
P02.0;P020;Plod in novorojenček, prizadet zaradi placente previje (predležeče posteljice)
P02.1;P021;Plod in novorojenček, prizadet zaradi drugih vrst ločitve posteljice in krvavitve
P02.2;P022;Plod in novorojenček, prizadet zaradi drugih in neopredeljenih morfoloških in funkcionalnih anomalij posteljice
P02.3;P023;Plod in novorojenček, prizadet zaradi sindromov placentarne transfuzije
P02.4;P024;Plod in novorojenček, prizadet zaradi izpada popkovnice
P02.5;P025;Plod in novorojenček, prizadet zaradi druge vrste pretisnjene popkovnice
P02.6;P026;Plod in novorojenček, prizadet zaradi drugih in neopredeljnih stanj popkovnice
P02.7;P027;Plod in novorojenček, prizadet zaradi horioamnionitisa
P02.8;P028;Plod in novorojenček, prizadet zaradi drugih anomalij ovojev
P02.9;P029;Plod in novorojenček, prizadet zaradi anomalije ovojev, neopredeljene
P03;P03;Plod in novorojenček, prizadet zaradi drugih zapletov med porodom in otrokovim rojstvom
P03.0;P030;Plod in novorojenček, prizadet zaradi medenične vstave in ekstrakcije
P03.1;P031;Plod in novorojenček, prizadet zaradi druge nepravilne vstave, lege, disproporca med porodom in otrokovim rojstvom
P03.2;P032;Plod in novorojenček, prizadet zaradi poroda s forcepsom (kleščnega poroda)
P03.3;P033;Plod in novorojenček, prizadet zaradi poroda z vakuumsko ekstrakcijo
P03.4;P034;Plod in novorojenček, prizadet zaradi poroda s carskim rezom
P03.5;P035;Plod in novorojenček, prizadet zaradi hitrega poroda
P03.6;P036;Plod in novorojenček, prizadet zaradi nepravilnih popadkov
P03.8;P038;Plod in novorojenček, prizadet zaradi drugih opredeljenih zapletov med porodom in otrokovim rojstvom
P03.9;P039;Plod in novorojenček, prizadet zaradi zapleta med porodom in otrokovim rojstvom, neopredeljenega
P04;P04;Plod in novorojenček, prizadet zaradi škodljivih snovi, prenešenih preko posteljice ali materinega mleka
P04.0;P040;Plod in novorojenček, prizadet zaradi anestezije in analgezije pri materi, med nosečnostjo, porodom in otrokovim rojstvom
P04.1;P041;Plod in novorojenček, prizadet zaradi drugih zdravil, ki jih je dobila mati
P04.2;P042;Plod in novorojenček, prizadet zaradi materinega kajenja tobaka
P04.3;P043;Plod in novorojenček, prizadet zaradi materinega uživanja alkohola
P04.4;P044;Plod in novorojenček, prizadet zaradi materinega uporabljanja snovi, ki lahko povzročijo zasvojenost
P04.5;P045;Plod in novorojenček, prizadet zaradi škodljivih snovi, ki jih je mati zaužila s hrano
P04.6;P046;Plod in novorojenček, prizadet zaradi učinkovanja škodljivih snovi iz okolja na mater
P04.8;P048;Plod in novorojenček, prizadet zaradi učinkovanja drugih škodljivih snovi na mater
P04.9;P049;Plod in novorojenček, prizadet zaradi učinkovanja škodljive snovi na mater, neopredeljene
P05;P05;Upočasnjena rast in podhranjenost plodu 
P05.0;P050;Lahek za gestacijsko starost
P05.1;P051;Majhen za gestacijsko starost
P05.2;P052;Podhranjenost plodu brez omembe lahkosti ali majhnosti za gestacijsko starost
P05.9;P059;Upočasnjena rast plodu, neopredeljena
P07;P07;Nepravilnosti, povezane s kratko nosečnostjo in majhno porodno težo, ki niso uvrščene drugje   
P07.0;P070;Skrajno majhna porodna teža
P07.01;P0701;Skrajno majhna porodna teža 499 g ali manj
P07.02;P0702;Skrajno majhna porodna teža 500 - 749 g
P07.03;P0703;Skrajno majhna porodna teža 750 - 999 g
P07.1;P071;Druge vrste majhna porodna teža
P07.11;P0711;Majhna porodna teža 1000 - 1249 g
P07.12;P0712;Majhna porodna teža 1250 - 1499 g
P07.13;P0713;Majhna porodna teža 1500-  2499 g
P07.2;P072;Skrajna nezrelost
P07.21;P0721;Skrajna nezrelost, manj kot 24 tednov
P07.22;P0722;Skrajna nezrelost, od 24 do 28 tednov  
P07.3;P073;Drugi nedonošenčki
P07.30;P0730;Nedonošenček, nespecifično  
P07.31;P0731;Nedonošenček, od 28 do 32 tednov
P07.32;P0732;Nedonošenček, od 32 do 37 tednov
P08;P08;Nepravilnosti, povezane z dolgo nosečnostjo in veliko porodno težo
P08.0;P080;Zelo velik novorojenček
P08.1;P081;Drugi, za gestacijsko starost težki novorojenčki
P08.2;P082;Prenošeni novorojenček, ki ni težek za gestacijsko starost
P10;P10;Intrakranialna poškodba (raztrganina) in krvavitev zaradi porodne poškodbe
P10.0;P100;Subduralna krvavitev zaradi porodne poškodbe
P10.1;P101;Krvavitev v možganovino zaradi porodne poškodbe
P10.2;P102;Intraventrikularna krvavitev zaradi porodne poškodbe
P10.3;P103;Subarahnoidna krvavitev zaradi porodne poškodbe
P10.4;P104;Raztrg tentorija zaradi porodne poškodbe
P10.8;P108;Druge intrakranialne poškodbe in krvavitve zaradi porodne poškodbe
P10.9;P109;Neopredeljena intrakranialna poškodba in krvavitev zaradi porodne poškodbe
P11;P11;Druge porodne poškodbe centralnega živčevja
P11.0;P110;Možganski edem zaradi porodne poškodbe
P11.1;P111;Druge vrste opredeljena možganska okvara zaradi porodne poškodbe
P11.2;P112;Neopredeljena možganska okvara zaradi porodne poškodbe
P11.3;P113;Porodna poškodba obraznega živca (facialisa)
P11.4;P114;Porodna poškodba drugih možganskih živcev
P11.5;P115;Porodna poškodba hrbtenice in hrbtnega mozga
P11.9;P119;Porodna poškodba centralnega živčevja, neopredeljena
P12;P12;Porodna poškodba skalpa
P12.0;P120;Kefalhematom zaradi porodne poškodbe
P12.1;P121;Porodna oteklina zaradi porodne poškodbe
P12.2;P122;Epikranialna subaponevrotična krvavitev zaradi porodne poškodbe
P12.3;P123;Podplutbe skalpa zaradi porodne poškodbe
P12.4;P124;Poškodba skalpa novorojenčka zaradi nadzorovanja (monitoriranja) plodu med porajanjem
P12.8;P128;Druge porodne poškodbe skalpa
P12.9;P129;Porodna poškodba skalpa, neopredeljena
P13;P13;Porodna poškodba okostja
P13.0;P130;Zlom lobanje zaradi porodne poškodbe
P13.1;P131;Druge porodne poškodbe lobanje
P13.2;P132;Porodna poškodba stegnenice
P13.3;P133;Porodna poškodba drugih dolgih kosti
P13.4;P134;Zlom ključnice kot porodna poškodba
P13.8;P138;Porodne poškodbe drugih delov okostja
P13.9;P139;Porodna poškodba okostja, neopredeljena
P14;P14;Porodna poškodba perifernega živčevja
P14.0;P140;Erbova paraliza zaradi porodne poškodbe
P14.1;P141;Klumpkejeva paraliza zaradi porodne poškodbe
P14.2;P142;Paraliza frenikusa zaradi porodne poškodbe
P14.3;P143;Druge porodne poškodbe brahialnega pleksusa
P14.8;P148;Porodne poškodbe drugih delov perifernega živčevja
P14.9;P149;Porodna poškodba perifernega živčevja, neopredeljena
P15;P15;Druge porodne poškodbe
P15.0;P150;Porodna poškodba jeter
P15.1;P151;Porodna poškodba vranice
P15.2;P152;Porodna poškodba mišice obračalke glave
P15.3;P153;Porodna poškodba očesa
P15.4;P154;Porodna poškodba obraza
P15.5;P155;Porodna poškodba zunanjega spolovila
P15.6;P156;Podkožna maščobna nekroza kot porodna poškodba
P15.8;P158;Druge opredeljene porodne poškodbe
P15.9;P159;Porodna poškodba, neopredeljena
P20;P20;Intrauterina hipoksija
P20.0;P200;Intrauterina hipoksija, prvič opažena pred začetkom poroda
P20.1;P201;Intrauterina hipoksija, prvič opažena med porodom in otrokovim rojstvom
P20.9;P209;Intrauterina hipoksija, neopredeljena
P21;P21;Porodna asfiksija
P21.0;P210;Huda porodna asfiksija
P21.1;P211;Mila ali zmerna porodna asfiksija
P21.9;P219;Porodna asfiksija, neopredeljena
P22;P22;Dihalna stiska (respiratorni distres) novorojenčka
P22.0;P220;Sindrom dihalne stiske novorojenčka
P22.1;P221;Prehodna tahipneja novorojenčka
P22.8;P228;Druge dihalne stiske novorojenčka
P22.9;P229;Dihalna stiska novorojenčka, neopredeljena
P23;P23;Prirojena pljučnica
P23.0;P230;Prirojena virusna pljučnica
P23.1;P231;Prirojena pljučnica zaradi klamidij
P23.2;P232;Prirojena pljučnica zaradi stafilokokov
P23.3;P233;Prirojena pljučnica zaradi streptokokov skupine B
P23.4;P234;Prirojena pljučnica zaradi bakterije Escherichia coli
P23.5;P235;Prirojena pljučnica zaradi bakterije Pseudomonas
P23.6;P236;Prirojena pljučnica zaradi drugih bakterij
P23.8;P238;Prirojena pljučnica zaradi drugih mikroorganizmov
P23.9;P239;Prirojena pljučnica, neopredeljena
P24;P24;Aspiracijski sindromi novorojenčka
P24.0;P240;Aspiracija mekonija pri novorojenčku
P24.1;P241;Aspiracija plodovnice in sluzi pri novorojenčku
P24.2;P242;Aspiracija krvi pri novorojenčku
P24.3;P243;Aspiracija mleka in regurgitirane hrane pri novorojenčku
P24.8;P248;Drugi aspiracijski sindromi novorojenčka
P24.9;P249;Aspiracijski sindrom novorojenčka, neopredeljen
P25;P25;Intersticijski emfizem in druga podobna stanja, ki izvirajo v perinatalnem (obporodnem) obdobju
P25.0;P250;Intersticijski emfizem, ki izvira v perinatalnem obdobju
P25.1;P251;Pnevmotoraks, ki izvira v perinatalnem obdobju
P25.2;P252;Pnevmomediastinum, ki izvira v perinatalnem obdobju
P25.3;P253;Pnevmoperikard, ki izvira v perinatalnem obdobju
P25.8;P258;Druga stanja, povezana z intersticijskim emfizemom v perinatalnem obdobju
P26;P26;Pljučna krvavitev, ki izvira v perinatalnem (obporodnem) obdobju
P26.0;P260;Traheobronhialna krvavitev, ki izvira v perinatalnem obdobju
P26.1;P261;Masivna pljučna krvavitev, ki izvira v perinatalnem obdobju
P26.8;P268;Druge pljučne krvavitve, ki izvirajo v perinatalnem obdobju
P26.9;P269;Neopredeljena pljučna krvavitev, ki izvira v perinatalnem obdobju
P27;P27;Kronična pljučna bolezen, ki izvira v perinatalnem (obporodnem) obdobju
P27.0;P270;Wilson-Mikityjev sindrom
P27.1;P271;Bronhopulmonalna displazija, ki izvira v perinatalnem obdobju
P27.8;P278;Druge kronične pljučne bolezni, ki izvirajo v perinatalnem obdobju
P27.9;P279;Neopredeljena kronična pljučna bolezen, ki izvira v perinatalnem obdobju
P28;P28;Druge motnje dihanja, ki izvirajo v perinatalnem (obporodnem) obdobju
P28.0;P280;Primarna atelektaza pri novorojenčku
P28.1;P281;Druge in neopredeljene atelektaze pri novorojenčku
P28.2;P282;Napadi pomodrelosti pri novorojenčku
P28.3;P283;Primarna apneja pri novorojenčku med spanjem
P28.4;P284;Druge vrste apneja pri novorojenčku
P28.40;P2840;Apneja novorojenčka, neopredeljena
P28.41;P2841;Apneja pri nedonošenčku
P28.42;P2842;Obstruktivna apneja pri novorojenčku
P28.49;P2849;Druge vrste apneja pri novorojenčku
P28.5;P285;Dihalna odpoved pri novorojenčku
P28.8;P288;Druge opredeljene motnje dihanja pri novorojenčku
P28.81;P2881;Nahod pri novorojenčku
P28.82;P2882;Pridobljena zožitev sapnika pod grlom
P28.83;P2883;Stokanje pri novorojenčku
P28.89;P2889;Druge opredeljene motnje dihanja pri novorojenčku
P28.9;P289;Motnja dihanja pri novorojenčku, neopredeljena
P29;P29;Bolezni srca in obtočil, ki izvirajo v perinatalnem (obporodnem) obdobju
P29.0;P290;Srčna odpoved pri novorojenčku
P29.1;P291;Srčna aritmija pri novorojenčku
P29.2;P292;Hipertenzija pri novorojenčku
P29.3;P293;Persistentna fetalna cirkulacija
P29.4;P294;Prehodna miokardna ishemija pri novorojenčku
P29.8;P298;Druge bolezni srca in obtočil, ki izvirajo v perinatalnem obdobju
P29.81;P2981;Hipotenzija pri novorojenčku
P29.82;P2982;Benigni in nepomembni srčni šumi pri novorojenčku
P29.89;P2989;Druge bolezni srca in obtočil, ki izvirajo v perinatalnem obdobju
P29.9;P299;Bolezen srca in obtočil v perinatalnem obdobju, neopredeljena
P35;P35;Prirojene virusne bolezni
P35.0;P350;Sindrom prirojene infekcije z rdečkami
P35.1;P351;Prirojena citomegalovirusna infekcija
P35.2;P352;Prirojena herpesvirusna infekcija [herpes simplex]
P35.3;P353;Prirojeni virusni hepatitis
P35.8;P358;Druge prirojene virusne bolezni
P35.9;P359;Prirojena virusna bolezen, neopredeljena
P36;P36;Bakterijska sepsa novorojenčka
P36.0;P360;Sepsa novorojenčka zaradi streptokokov skupine B
P36.1;P361;Sepsa novorojenčka zaradi drugih in neopredeljenih streptokokov
P36.2;P362;Sepsa novorojenčka zaradi stafilokoka Staphylococcus aureus
P36.3;P363;Sepsa novorojenčka zaradi drugih in neopredeljenih stafilokokov
P36.4;P364;Sepsa novorojenčka zaradi bakterije Escherichia coli
P36.5;P365;Sepsa novorojenčka zaradi anaerobov
P36.8;P368;Druge bakterijske sepse novorojenčka
P36.9;P369;Bakterijska sepsa novorojenčka, neopredeljena
P37;P37;Druge prirojene infekcijske in parazitske bolezni
P37.0;P370;Prirojena tuberkuloza
P37.1;P371;Prirojena toksoplazmoza
P37.2;P372;Listerioza (diseminirana) novorojenčka
P37.3;P373;Prirojena malaria falciparum
P37.4;P374;Druge vrste prirojena malarija
P37.5;P375;Kandidioza novorojenčka
P37.50;P3750;Kandidioza novorojenčka, neopredeljena
P37.51;P3751;Kandidioza lokalno ali kandidioza prebavil pri novorojenčku
P37.52;P3752;Invazivna kandidioza novorojenčka
P37.59;P3759;Druge vrste kandidioza novorojenčka
P37.8;P378;Druge opredeljene prirojene infekcijske in parazitske bolezni
P37.9;P379;Prirojena infekcijska ali parazitska bolezen, neopredeljena
P38;P38;Vnetje popka (omfalitis) novorojenčka z zmerno krvavitvijo ali brez nje
P39;P39;Druge infekcije, značilne za perinatalno (obporodno) obdobje
P39.0;P390;Infekcijski mastitis novorojenčka
P39.1;P391;Konjunktivitis in dakrocistitis novorojenčka
P39.2;P392;Intraamnijska infekcija plodu, ki ni uvrščena drugje
P39.3;P393;Infekcija sečil novorojenčka
P39.4;P394;Kožna infekcija novorojenčka
P39.8;P398;Druge opredeljene infekcije, značilne za perinatalno obdobje
P39.9;P399;Infekcija, značilna za perinatalno obdobje, neopredeljena
P50;P50;Krvavitev plodu
P50.0;P500;Krvavitev plodu iz predležečih žil (vasa preavia)
P50.1;P501;Krvavitev plodu iz pretrgane popkovnice
P50.2;P502;Krvavitev plodu iz posteljice
P50.3;P503;Krvavitev v drugega dvojčka
P50.4;P504;Krvavitev v materin krvni obtok
P50.5;P505;Krvavitev plodu iz prerezanega konca popkovnice drugega dvojčka
P50.8;P508;Druge vrste krvavitev plodu
P50.9;P509;Krvavitev plodu, neopredeljna
P51;P51;Krvavitev novorojenčka iz popkovnice
P51.0;P510;Obilna krvavitev novorojenčka iz popkovnice
P51.8;P518;Druge krvavitve novorojenčka iz popkovnice
P51.9;P519;Krvavitev novorojenčka iz popkovnice, neopredeljena
P52;P52;Nepoškodbena intrakranialna krvavitev plodu in novorojenčka
P52.0;P520;Intraventrikularna (nepoškodbena) krvavitev plodu in novorojenčka, 1. stopnja
P52.1;P521;Intraventrikularna (nepoškodbena) krvavitev plodu in novorojenčka, 2. stopnja
P52.2;P522;Intraventrikularna (nepoškodbena) krvavitev plodu in novorojenčka, 3. stopnja
P52.3;P523;Neopredeljena intraventrikularna (nepoškodbena) krvavitev plodu in novorojenčka
P52.4;P524;(Nepoškodbena) krvavitev v možganovino plodu in novorojenčka
P52.5;P525;Subarahnoidalna (nepoškodbena) krvavitev plodu in novorojenčka
P52.6;P526;Krvavitev (nepoškodbena) v male možgane in zadnjo možgansko kotanjo plodu in novorojenčka
P52.8;P528;Druge intrakranialne (nepoškodbene) krvavitve plodu in novorojenčka
P52.9;P529;Intrakranialna krvavitev (nepoškodbena) plodu in novorojenčka, neopredeljena
P53;P53;Hemoragična bolezen plodu in novorojenčka
P54;P54;Druge krvavitve novorojenčka
P54.0;P540;Hematemeza novorojenčka
P54.1;P541;Melena novorojenčka
P54.2;P542;Črevesna krvavitev novorojenčka
P54.3;P543;Druge vrste gastrointestinalna krvavitev novorojenčka
P54.4;P544;Krvavitev v nadledvičnico novorojenčka
P54.5;P545;Kožna krvavitev novorojenčka
P54.6;P546;Krvavitev iz nožnice pri novorojenki
P54.8;P548;Druge opredeljene krvavitve novorojenčka
P54.9;P549;Krvavitev novorojenčka, neopredeljena
P55;P55;Hemolitična bolezen plodu in novorojenčka
P55.0;P550;Rh izoimunizacija plodu in novorojenčka
P55.1;P551;ABO izoimunizacija plodu in novorojenčka
P55.8;P558;Druge hemolitične bolezni plodu in novorojenčka
P55.9;P559;Hemolitična bolezen plodu in novorojenčka, neopredeljena
P56;P56;Hidrops plodu zaradi hemolitične bolezni
P56.0;P560;Hidrops plodu zaradi izoimunizacije
P56.9;P569;Hidrops plodu zaradi druge in neopredeljene hemolitične bolezni
P57;P57;Kernikterus
P57.0;P570;Kernikterus zaradi izoimunizacije
P57.8;P578;Druge vrste neopredeljeni kernikterus
P57.9;P579;Kernikterus, neopredeljen
P58;P58;Zlatenica novorojenčka zaradi druge vrste čezmerne hemolize
P58.0;P580;Zlatenica novorojenčka zaradi podplutb
P58.1;P581;Zlatenica novorojenčka zaradi krvavitve
P58.2;P582;Zlatenica novorojenčka zaradi infekcije
P58.3;P583;Zlatenica novorojenčka zaradi policitemije
P58.4;P584;Zlatenica novorojenčka zaradi zdravil ali strupov, prenesenih od matere ali danih novorojenčku
P58.5;P585;Zlatenica novorojenčka zaradi popite materine krvi
P58.8;P588;Zlatenica novorojenčka zaradi druge vrste opredeljene čezmerne hemolize
P58.9;P589;Zlatenica novorojenčka zaradi čezmerne hemolize, neopredeljena
P59;P59;Zlatenica novorojenčka zaradi drugih in neopredeljenih vzrokov
P59.0;P590;Zlatenica novorojenčka, združena s prezgodnjim rojstvom
P59.1;P591;Sindrom zgoščenega žolča
P59.2;P592;Zlatenica novorojenčka zaradi druge in neopredeljene hepatocelularne okvare
P59.3;P593;Zlatenica novorojenčka zaradi inhibitorjev v materinem mleku
P59.8;P598;Zlatenica novorojenčka zaradi drugih opredeljenih vzrokov
P59.9;P599;Zlatenica novorojenčka, neopredeljena
P60;P60;Diseminirana intravaskularna koagulacija plodu in novorojenčka
P61;P61;Druge perinatalne (obporodne) bolezni krvi
P61.0;P610;Prehodna trombocitopenija novorojenčka
P61.1;P611;Policitemija novorojenčka
P61.2;P612;Anemija nedonošenčka
P61.3;P613;Prirojena anemija zaradi krvavitve plodu
P61.4;P614;Druge prirojene anemije, ki niso uvrščene drugje
P61.5;P615;Prehodna nevtropenija novorojenčka
P61.6;P616;Druge prehodne motnje koagulacije novorojenčka
P61.8;P618;Druge opredeljene perinatalne bolezni krvi
P61.9;P619;Perinatalna bolezen krvi, neopredeljena
P70;P70;Prehodne motnje metabolizma ogljikovih hidratov, značilne za plod ali novorojenčka
P70.0;P700;Sindrom otroka matere z gestacijskim diabetesom
P70.1;P701;Sindrom otroka diabetične matere
P70.2;P702;Sladkorna bolezen (diabetes) novorojenčka
P70.3;P703;Iatrogena hipoglikemija novorojenčka
P70.4;P704;Druge vrste hipoglikemija novorojenčka
P70.8;P708;Druge prehodne motnje metabolizma ogljikovih hidratov plodu in novorojenčka
P70.9;P709;Prehodna motnja metabolizma ogljikovih hidratov plodu in novorojenčka, neopredeljena
P71;P71;Prehodne motnje metabolizma kalcija in magnezija novorojenčka
P71.0;P710;Hipokalcemija novorojenčka zaradi kravjega mleka
P71.1;P711;Druge vrste hipokalcemija novorojenčka
P71.2;P712;Hipomagnezemija novorojenčka
P71.3;P713;Tetanija novorojenčka brez pomanjkanja kalcija ali magnezija
P71.4;P714;Prehodni hipoparatiroidizem novorojenčka
P71.8;P718;Druge prehodne motnje metabolizma kalcija in magnezija novorojenčka
P71.9;P719;Prehodna motnja metabolizma kalcija in magnezija novorojenčka, neopredeljena
P72;P72;Druge prehodne endokrine motnje novorojenčka
P72.0;P720;Golša novorojenčka, ki ni uvrščena drugje
P72.1;P721;Prehodni hipertiroidizem novorojenčka
P72.2;P722;Druge prehodne motnje funkcije ščitnice novorojenčka, ki niso uvrščene drugje
P72.8;P728;Druge opredeljene prehodne endokrine motnje novorojenčka
P72.9;P729;Prehodna endokrina motnja novorojenčka, neopredeljena
P74;P74;Druge prehodne motnje v ravnotežju elektrolitov in metabolizma novorojenčka
P74.0;P740;Pozna presnovna acidoza novorojenčka
P74.1;P741;Dehidracija novorojenčka
P74.2;P742;Motnje v ravnotežju natrija pri novorojenčku
P74.20;P7420;Motnje v ravnovesju natrija pri novorojenčku, neopredeljene
P74.21;P7421;Hipernatremija pri novorojenčku
P74.22;P7422;Hiponatremija pri novorojenčku
P74.29;P7429;Druge motnje v ravnovesju natrija pri novorojenčku
P74.3;P743;Motnje v ravnotežju kalija pri novorojenčku
P74.30;P7430;Motnje v ravnovesju kalija pri novorojenčku, neopredeljene
P74.31;P7431;Hiperkaliemija pri novorojenčku
P74.32;P7432;Hipokaliemija pri novorojenčku
P74.39;P7439;Druge motnje v ravnovesju kalija pri novorojenčku
P74.4;P744;Druge prehodne motnje v ravnotežju elektrolitov pri novorojenčku
P74.5;P745;Prehodna tirozinemija novorojenčka
P74.8;P748;Druge prehodne presnovne motnje novorojenčka
P74.9;P749;Prehodna presnovna motnja novorojenčka, neopredeljena
P75;P75;Mekonijski ileus  (E84.1†)
P76;P76;Druge vrste črevesna obstrukcija novorojenčka
P76.0;P760;Sindrom mekonijskega čepa
P76.1;P761;Prehodni ileus novorojenčka
P76.2;P762;Črevesna zapora zaradi zgostitve mleka
P76.8;P768;Druge vrste opredeljena črevesna zapora novorojenčka
P76.9;P769;Črevesna zapora novorojenčka, neopredeljena
P77;P77;Nekrotizirajoči enterokolitis plodu in novorojenčka
P78;P78;Druge bolezni prebavil v perinatalnem (obporodnem) obdobju
P78.0;P780;Perforacija črevesja v perinatalnem obdobju
P78.1;P781;Druge vrste peritonitis novorojenčka
P78.2;P782;Hematemeza in melena novorojenčka zaradi popite materine krvi
P78.3;P783;Neinfekcijska driska novorojenčka
P78.8;P788;Druge opredeljene bolezni prebavil v perinatalnem obdobju
P78.9;P789;Bolezen prebavil v perinatalnem obdobju, neopredeljena
P80;P80;Podhladitev (hipotermija) novorojenčka
P80.0;P800;Sindrom podhladitve novorojenčka
P80.8;P808;Druge vrste hipotermija novorojenčka
P80.9;P809;Hipotermija novorojenčka, neopredeljena
P81;P81;Druge motnje uravnavanja telesne temperature novorojenčka
P81.0;P810;Pregretje novorojenčka
